Designator,Mid X,Mid Y,Rotation,Layer
D494,96.200001,-43.8,90.0,top
D495,99.200002,-43.8,90.0,top
D496,102.2,-43.8,90.0,top
D497,81.2,-34.8,90.0,top
D498,84.2,-34.8,90.0,top
D499,87.2,-34.8,90.0,top
D5,21.2,-4.8,90.0,top
D50,12.2,-10.8,90.0,top
D500,90.2,-34.8,90.0,top
D501,93.2,-34.8,90.0,top
D502,96.2,-34.8,90.0,top
D503,99.2,-34.8,90.0,top
D504,102.2,-34.8,90.0,top
D505,81.2,-31.8,90.0,top
D506,84.2,-31.8,90.0,top
D507,87.2,-31.8,90.0,top
D508,90.2,-31.8,90.0,top
D509,93.2,-31.8,90.0,top
D51,15.2,-10.8,90.0,top
D510,96.2,-31.8,90.0,top
D511,99.2,-31.8,90.0,top
D512,102.2,-31.8,90.0,top
D513,9.2,-52.8,90.0,top
D514,12.2,-52.8,90.0,top
D515,15.2,-52.8,90.0,top
D516,18.2,-52.8,90.0,top
D517,21.2,-52.8,90.0,top
D518,24.2,-52.8,90.0,top
D519,27.2,-52.8,90.0,top
D52,18.2,-10.8,90.0,top
D520,30.2,-52.8,90.0,top
D521,9.2,-46.8,90.0,top
D522,12.2,-46.8,90.0,top
D523,15.2,-46.8,90.0,top
D524,18.2,-46.8,90.0,top
D525,21.2,-46.8,90.0,top
D526,24.2,-46.8,90.0,top
D527,27.2,-46.8,90.0,top
D528,30.2,-46.8,90.0,top
D529,9.2,-49.8,90.0,top
D53,21.2,-10.8,90.0,top
D530,12.2,-49.8,90.0,top
D531,15.2,-49.8,90.0,top
D532,18.2,-49.8,90.0,top
D533,21.2,-49.8,90.0,top
D534,24.2,-49.8,90.0,top
D535,27.2,-49.8,90.0,top
D536,30.2,-49.8,90.0,top
D537,9.2,-61.8,90.0,top
D538,12.2,-61.8,90.0,top
D539,15.2,-61.8,90.0,top
D54,24.2,-10.8,90.0,top
D540,18.2,-61.8,90.0,top
D541,21.2,-61.8,90.0,top
D542,24.2,-61.8,90.0,top
D543,27.2,-61.8,90.0,top
D544,30.2,-61.8,90.0,top
D545,9.2,-64.8,90.0,top
D546,12.2,-64.8,90.0,top
D547,15.2,-64.8,90.0,top
D548,18.2,-64.8,90.0,top
D549,21.2,-64.8,90.0,top
D55,27.2,-10.8,90.0,top
D550,24.2,-64.8,90.0,top
D551,27.2,-64.8,90.0,top
D552,30.2,-64.8,90.0,top
D553,9.2,-67.8,90.0,top
D554,12.2,-67.8,90.0,top
D555,15.200002,-67.8,90.0,top
D556,18.200001,-67.8,90.0,top
D557,21.200001,-67.8,90.0,top
D558,24.200001,-67.8,90.0,top
D559,27.200002,-67.8,90.0,top
D56,30.2,-10.8,90.0,top
D560,30.2,-67.8,90.0,top
D561,9.2,-58.8,90.0,top
D562,12.2,-58.8,90.0,top
D563,15.2,-58.8,90.0,top
D564,18.2,-58.8,90.0,top
D565,21.2,-58.8,90.0,top
D566,24.2,-58.8,90.0,top
D567,27.2,-58.8,90.0,top
D568,30.2,-58.8,90.0,top
D569,9.2,-55.8,90.0,top
D57,9.2,-7.8,90.0,top
D570,12.2,-55.8,90.0,top
D571,15.2,-55.8,90.0,top
D572,18.2,-55.8,90.0,top
D573,21.2,-55.8,90.0,top
D574,24.2,-55.8,90.0,top
D575,27.2,-55.8,90.0,top
D576,30.2,-55.8,90.0,top
D577,33.2,-52.8,90.0,top
D578,36.2,-52.8,90.0,top
D579,39.2,-52.8,90.0,top
D58,12.2,-7.8,90.0,top
D580,42.2,-52.8,90.0,top
D581,45.2,-52.8,90.0,top
D582,48.2,-52.8,90.0,top
D583,51.2,-52.8,90.0,top
D584,54.2,-52.8,90.0,top
D585,33.2,-46.8,90.0,top
D586,36.2,-46.8,90.0,top
D587,39.2,-46.8,90.0,top
D588,42.2,-46.8,90.0,top
D589,45.2,-46.8,90.0,top
D59,15.2,-7.8,90.0,top
D590,48.2,-46.8,90.0,top
D591,51.2,-46.8,90.0,top
D592,54.2,-46.8,90.0,top
D593,33.2,-49.8,90.0,top
D594,36.2,-49.8,90.0,top
D595,39.2,-49.8,90.0,top
D596,42.2,-49.8,90.0,top
D597,45.2,-49.8,90.0,top
D598,48.2,-49.8,90.0,top
D599,51.2,-49.8,90.0,top
D6,24.2,-4.8,90.0,top
D60,18.2,-7.8,90.0,top
D600,54.2,-49.8,90.0,top
D601,33.2,-61.8,90.0,top
D602,36.2,-61.8,90.0,top
D603,39.2,-61.8,90.0,top
D604,42.2,-61.8,90.0,top
D605,45.2,-61.8,90.0,top
D606,48.2,-61.8,90.0,top
D607,51.2,-61.8,90.0,top
D608,54.2,-61.8,90.0,top
D609,33.2,-64.8,90.0,top
D61,21.2,-7.8,90.0,top
D610,36.2,-64.8,90.0,top
D611,39.2,-64.8,90.0,top
D612,42.2,-64.8,90.0,top
D613,45.2,-64.8,90.0,top
D614,48.2,-64.8,90.0,top
D615,51.2,-64.8,90.0,top
D616,54.2,-64.8,90.0,top
D617,33.2,-67.8,90.0,top
